article_id,periodical,periodical_label,issue_id,year,code,family,reason,reason_words
1979-09-3-right-editorial,candil,Candil,1979-09,1979,CRIT_01,CRIT,"The article strongly criticizes fandango, cuplé, and vulgar representations, but the main discourse function is better captured by authenticity boundary-work.",21
1979-09-3-right-editorial,candil,Candil,1979-09,1979,AUTH_03,AUTH,"The final call to retake the old situation suggests continuity, but the evidence is less distinct than the anti-commercial and identity claims.",23
1979-09-4-right-de-los-caf-s-cantantes-al-festiv,candil,Candil,1979-09,1979,CRIT_04,CRIT,"The text invokes Machado Alvarez and disagrees with Ricardo Molina, but the excerpt's strongest function is authenticity and setting critique rather than expert authority itself.",26
1979-09-4-right-de-los-caf-s-cantantes-al-festiv,candil,Candil,1979-09,1979,CRIT_02,CRIT,"Terms such as duende, frescura, and profundidad appear as aesthetic criteria, but they support the main authenticity argument rather than a separate evaluative code.",24
1979-09-5-right-para-una-sociolog-a-de-las-taran,candil,Candil,1979-09,1979,AUTH_04,AUTH,"The excerpt mentions product of consumption and loss of interiority, but the author explicitly brackets greatness or agony and does not develop a clear authenticity claim in the visible text.",30
1979-09-5-right-para-una-sociolog-a-de-las-taran,candil,Candil,1979-09,1979,CRIT_03,CRIT,"The phrase 'Epoca de oro del cante' appears as an attributed view by others, but the author does not clearly endorse a canon or hierarchy in the visible excerpt.",29
1979-09-7-right-la-taranta,candil,Candil,1979-09,1979,CRIT_02,CRIT,"The poem uses charged aesthetic imagery around taranta and mining, but it does not clearly define evaluative criteria or authorize a flamenco discourse function.",24
1979-09-7-right-la-taranta,candil,Candil,1979-09,1979,COMM_04,COMM,"The mine and human condition are evoked, but no clear identity group is made authoritative in the visible text.",19
1979-09-8-right-alusiones-gitanas-en-la-literatu,candil,Candil,1979-09,1979,COMM_04,COMM,"The visible text contains strong ethnic and gendered framing of gitanos, but it is presented as literary/historical citation about gitanos rather than a clear flamenco discourse claim.",28
1979-09-8-right-alusiones-gitanas-en-la-literatu,candil,Candil,1979-09,1979,PED_02,PED,"The phrase 'generación tras generación, transmitidas por vía oral' describes transmission of fortune-telling recipes, not flamenco knowledge.",18
1979-11-6-right-la-inmensa-memoria-flamenca-de-f,candil,Candil,1979-11,1979,AUTH_04,AUTH,"The trigger 'cercano' appears only as personal affinity to Caballero Bonald, not as intimate authenticity discourse.",16
1979-11-11-right-elegia-para-el-descomp-s-y-otros,candil,Candil,1979-11,1979,CRIT_02,CRIT,"The poem invokes 'sonidos negros', but does not clearly define an aesthetic criterion beyond evocative imagery.",16
1979-11-12-right-unas-viejas-habaneras-sevillanas,candil,Candil,1979-11,1979,COMM_04,COMM,"The article uses Andalusian identity language, but the stronger functions are preservation and authenticity boundary-work.",16
1979-11-13-right-canalejas-de-puerto-real,candil,Candil,1979-11,1979,AUTH_03,AUTH,"references to past, local rootedness, and history are present, but the passage mainly memorializes rather than clearly using tradition to authorize present practice.",23
1979-11-13-right-canalejas-de-puerto-real,candil,Candil,1979-11,1979,CRIT_02,CRIT,"duende and hondo appear, but the aesthetic criteria are not developed enough beyond praise to warrant a separate code.",19
1979-11-14-right-quienes-fueron-los-maestros-fran,candil,Candil,1979-11,1979,COMM_04,COMM,"gitano identity is mentioned, but it is mostly biographical and does not clearly organize authority beyond the already coded lineage/canon discourse.",22
1979-11-15-right-discograf-a-flamenca,candil,Candil,1979-11,1979,CRIT_02,CRIT,"aesthetic terms such as expresividad, comunicación, and rigidez appear, but they are folded into the broader critical evaluation rather than used as a separate explicit criteria discourse.",27
1979-11-15-right-discograf-a-flamenca,candil,Candil,1979-11,1979,AUTH_02,AUTH,"the reviewer says not to call them purists and warns against deviation, but the passage does not clearly exclude an impure or fake target.",24
1980-01-3-right-editorial,candil,Candil,1980-01,1980,COMM_04,COMM,"pueblo and comunidades are invoked, but the visible text mainly frames memory and continuity rather than a clear belonging or authority boundary.",22
1980-01-4-right-a-nadie-se-le-puede-sustraer-lo-,candil,Candil,1980-01,1980,COMM_02,COMM,"peñas and aficionados are mentioned, but the clearest function is pedagogical dissemination rather than community authority.",16
1980-01-4-right-a-nadie-se-le-puede-sustraer-lo-,candil,Candil,1980-01,1980,AUTH_03,AUTH,"classical/canonical repertoire appears, but the visible passage is more about expert classification and teaching than tradition as present-value authority.",21
1980-01-6-right-martos-en-la-geografia-de-los-ca,candil,Candil,1980-01,1980,CRIT_03,CRIT,"The trigger 'leyendas' appears, but the passage uses it as oral-memory material rather than constructing a canon, ranking, or hierarchy.",21
1980-01-6-right-martos-en-la-geografia-de-los-ca,candil,Candil,1980-01,1980,AUTH_03,AUTH,"The article invokes past continuity, but the clearest function is oral transmission and memory recovery rather than tradition authorizing present practice.",21
1980-01-8-right-quejio,candil,Candil,1980-01,1980,CRIT_02,CRIT,"The poem evokes pain, lament, and quejío, but does not clearly apply these as explicit criteria for judging flamenco quality.",20
